id,stationId,longitude,latitude
1,dongsi_aq,116.417,39.929
2,tiantan_aq,116.407,39.886
3,guanyuan_aq,116.339,39.929
4,wanshouxigong_aq,116.352,39.878
5,aotizhongxin_aq,116.397,39.982
6,nongzhanguan_aq,116.461,39.937
7,wanliu_aq,116.287,39.987
8,beibuxinqu_aq,116.174,40.09
9,zhiwuyuan_aq,116.207,40.002
10,fengtaihuayuan_aq,116.279,39.863
11,yungang_aq,116.146,39.824
12,gucheng_aq,116.184,39.914
13,fangshan_aq,116.136,39.742
14,daxing_aq,116.404,39.718
15,yizhuang_aq,116.506,39.795
16,tongzhou_aq,116.663,39.886
17,shunyi_aq,116.655,40.127
18,pingchang_aq,116.23,40.217
19,mentougou_aq,116.106,39.937
20,pinggu_aq,117.1,40.143
21,huairou_aq,116.628,40.328
22,miyun_aq,116.832,40.37
23,yanqin_aq,115.972,40.453
24,dingling_aq,116.22,40.292
25,badaling_aq,115.988,40.365
26,miyunshuiku_aq,116.911,40.499
27,donggaocun_aq,117.12,40.1
28,yongledian_aq,116.783,39.712
29,yufa_aq,116.3,39.52
30,liulihe_aq,116,39.58
31,qianmen_aq,116.395,39.899
32,yongdingmennei_aq,116.394,39.876
33,xizhimenbei_aq,116.349,39.954
34,nansanhuan_aq,116.368,39.856
35,dongsihuan_aq,116.483,39.939
