,id,stationId,longitude,latitude,grade1_PM2.5,grade2_PM2.5,grade3_PM2.5,grade4_PM2.5,grade5_PM2.5,grade6_PM2.5,grade7_PM2.5,grade8_PM2.5,label
0,1,dongsi_aq,116.417,39.929,118,2,0,0,0,0,0,0,7
1,2,tiantan_aq,116.40700000000001,39.885999999999996,119,1,0,0,0,0,0,0,7
2,3,guanyuan_aq,116.339,39.929,120,0,0,0,0,0,0,0,3
3,4,wanshouxigong_aq,116.352,39.878,120,0,0,0,0,0,0,0,3
4,5,aotizhongxin_aq,116.397,39.982,118,2,0,0,0,0,0,0,7
5,6,nongzhanguan_aq,116.461,39.937,116,4,0,0,0,0,0,0,0
6,7,wanliu_aq,116.287,39.986999999999995,118,2,0,0,0,0,0,0,7
7,8,beibuxinqu_aq,116.17399999999999,40.09,120,0,0,0,0,0,0,0,3
8,9,zhiwuyuan_aq,116.20700000000001,40.001999999999995,120,0,0,0,0,0,0,0,3
9,10,fengtaihuayuan_aq,116.279,39.863,116,4,0,0,0,0,0,0,0
10,11,yungang_aq,116.146,39.824,120,0,0,0,0,0,0,0,3
11,12,gucheng_aq,116.184,39.914,120,0,0,0,0,0,0,0,3
12,13,fangshan_aq,116.13600000000001,39.742,120,0,0,0,0,0,0,0,3
13,14,daxing_aq,116.404,39.718,117,3,0,0,0,0,0,0,0
14,15,yizhuang_aq,116.506,39.795,104,16,0,0,0,0,0,0,2
15,16,tongzhou_aq,116.663,39.885999999999996,112,8,0,0,0,0,0,0,4
16,17,shunyi_aq,116.655,40.126999999999995,117,3,0,0,0,0,0,0,0
17,18,pingchang_aq,116.23,40.217,119,1,0,0,0,0,0,0,7
18,19,mentougou_aq,116.10600000000001,39.937,120,0,0,0,0,0,0,0,3
19,20,pinggu_aq,117.1,40.143,118,2,0,0,0,0,0,0,7
20,21,huairou_aq,116.62799999999999,40.328,120,0,0,0,0,0,0,0,3
21,22,miyun_aq,116.83200000000001,40.37,120,0,0,0,0,0,0,0,3
22,23,yanqin_aq,115.97200000000001,40.453,109,11,0,0,0,0,0,0,6
23,24,dingling_aq,116.22,40.292,119,1,0,0,0,0,0,0,7
24,25,badaling_aq,115.988,40.365,113,7,0,0,0,0,0,0,4
25,26,miyunshuiku_aq,116.911,40.499,120,0,0,0,0,0,0,0,3
26,27,donggaocun_aq,117.12,40.1,117,3,0,0,0,0,0,0,0
27,28,yongledian_aq,116.78299999999999,39.711999999999996,106,11,3,0,0,0,0,0,6
28,29,yufa_aq,116.3,39.52,97,14,9,0,0,0,0,0,5
29,30,liulihe_aq,116.0,39.58,73,41,6,0,0,0,0,0,1
30,31,qianmen_aq,116.395,39.899,119,1,0,0,0,0,0,0,7
31,32,yongdingmennei_aq,116.39399999999999,39.876,118,2,0,0,0,0,0,0,7
32,33,xizhimenbei_aq,116.34899999999999,39.954,117,3,0,0,0,0,0,0,0
33,34,nansanhuan_aq,116.368,39.856,116,4,0,0,0,0,0,0,0
34,35,dongsihuan_aq,116.48299999999999,39.939,117,3,0,0,0,0,0,0,0
